""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"15737"	"LOC105375461"	0	0	0	0	0	0
"15738"	"LOC105375462"	0	0	0	0	0	0
"15739"	"LOC102724407"	0	0	0	0	0	0
"15740"	"TFEC"	0	4	4	12	15	20
"15741"	"TES"	1961	1947	1839	3136	3182	3168
"15742"	"LOC102724434"	4	8	2	4	2	6
"15743"	"LOC105375463"	9	1	2	2	2	0
"15744"	"LOC107986838"	245	279	290	332	298	260
"15745"	"LOC107986839"	4	12	4	3	0	2
"15746"	"CAV2"	6839	7011	7042	7041	7238	7705
"15747"	"CAV1"	13829	13860	13768	12838	13872	13590
"15748"	"COMETT"	9	14	12	12	9	14
"15749"	"MET"	13974	13329	12517	14397	15376	16033
"15750"	"CAPZA2"	6534	6373	6334	6117	6853	6751
"15751"	"LOC105375465"	0	0	0	0	0	0
"15752"	"ST7-AS1"	75	84	92	76	89	93
"15753"	"ST7"	876	781	857	847	887	989
"15754"	"ST7-OT4"	14	8	4	9	13	7
"15755"	"MIR6132"	0	0	0	1	0	1
"15756"	"ST7-AS2"	71	56	69	73	77	81
"15757"	"ST7-OT3"	124	139	132	123	141	134
"15758"	"LOC105375466"	0	0	0	0	0	0
"15759"	"WNT2"	0	0	0	0	4	0
"15760"	"LOC105375467"	0	0	0	0	0	0
"15761"	"ASZ1"	0	0	0	0	0	0
"15762"	"LOC105375468"	0	0	0	0	0	0
"15763"	"CFTR"	70	69	60	43	30	31
"15764"	"CFTR-AS1"	0	0	0	0	0	0
"15765"	"CTTNBP2"	158	109	121	168	183	226
"15766"	"LOC105375469"	7	2	3	5	1	2
"15767"	"LOC105375470"	0	0	0	2	2	0
"15768"	"LSM8"	1477	1595	1518	1371	1427	1552
"15769"	"ANKRD7"	10	6	8	10	8	2
"15770"	"LOC102724495"	0	0	0	0	0	0
"15771"	"LOC105375471"	0	0	1	0	0	0
"15772"	"LOC105375472"	0	2	0	0	0	0
"15773"	"LOC107986747"	0	0	0	0	0	0
"15774"	"LOC105375473"	0	0	0	0	0	0
"15775"	"LINC02476"	0	0	0	1	0	0
"15776"	"LOC107986840"	0	0	0	0	0	0
"15777"	"LOC105375477"	0	0	0	0	0	0
"15778"	"KCND2"	0	0	0	0	0	0
"15779"	"TSPAN12"	83	72	75	133	130	180
"15780"	"ING3"	338	306	296	241	226	248
"15781"	"CPED1"	0	0	0	2	0	2
"15782"	"WNT16"	0	2	0	1	4	2
"15783"	"FAM3C"	2165	2176	2068	2456	2622	2796
"15784"	"LOC105375478"	0	0	0	0	0	0
