""	"Gene"	"GSM6160812"	"GSM6160813"	"GSM6160814"	"GSM6160821"	"GSM6160822"	"GSM6160823"
"7138"	"CELSR3"	653	667	505	450	458	448
"7139"	"MIR4793"	6	11	5	7	8	7
"7140"	"LINC02585"	5	6	8	10	5	4
"7141"	"NCKIPSD"	766	800	711	717	737	658
"7142"	"IP6K2"	2149	2232	2303	2053	2128	1991
"7143"	"PRKAR2A"	4037	3696	3427	3762	3659	3880
"7144"	"PRKAR2A-AS1"	69	36	32	30	43	26
"7145"	"SLC25A20"	507	571	533	523	524	559
"7146"	"ARIH2OS"	124	129	111	98	132	137
"7147"	"ARIH2"	3107	2888	3060	2850	2940	2832
"7148"	"P4HTM"	889	1100	1035	754	754	643
"7149"	"WDR6"	4598	4613	4531	3850	4072	3912
"7150"	"DALRD3"	1172	1360	1310	1120	1148	1051
"7151"	"MIR425"	0	2	0	0	1	1
"7152"	"NDUFAF3"	1435	1521	1758	1578	1573	1488
"7153"	"MIR191"	0	0	0	0	0	0
"7154"	"IMPDH2"	6660	6515	6892	6353	6081	6336
"7155"	"QRICH1"	2683	2685	2548	2576	2744	2658
"7156"	"QARS1"	5939	6005	6119	5707	5824	6065
"7157"	"MIR6890"	2	5	4	1	5	2
"7158"	"USP19"	2116	2037	1917	2036	2115	2064
"7159"	"LAMB2"	3814	3882	3657	2565	2768	2441
"7160"	"LAMB2P1"	2	2	8	3	0	0
"7161"	"CCDC71"	473	532	495	476	448	433
"7162"	"KLHDC8B"	390	404	379	267	336	258
"7163"	"C3orf84"	0	0	0	0	0	0
"7164"	"IHO1"	0	2	4	0	2	0
"7165"	"C3orf62"	179	183	167	157	142	112
"7166"	"MIR4271"	5	4	11	5	9	3
"7167"	"USP4"	1047	1012	964	867	794	861
"7168"	"LOC107986084"	8	28	11	10	17	22
"7169"	"GPX1"	3995	4274	4440	4065	4018	3721
"7170"	"RHOA"	24041	24257	25182	22932	24215	24087
"7171"	"TCTA"	1344	1273	1297	1362	1579	1475
"7172"	"AMT"	55	51	53	42	39	19
"7173"	"NICN1"	679	585	561	559	600	573
"7174"	"DAG1"	6846	6842	6423	6715	6618	6790
"7175"	"BSN-DT"	8	5	4	3	4	4
"7176"	"BSN"	59	65	60	93	86	74
"7177"	"APEH"	3745	3745	3885	3635	3518	3571
"7178"	"MST1"	125	125	112	130	91	71
"7179"	"RNF123"	1372	1286	1266	1148	1155	1110
"7180"	"AMIGO3"	226	208	184	194	226	161
"7181"	"GMPPB"	1029	1068	1052	1026	983	886
"7182"	"IP6K1"	1772	1705	1638	2154	2205	2141
"7183"	"CDHR4"	44	60	47	47	34	50
"7184"	"INKA1"	10	8	6	32	12	20
"7185"	"UBA7"	27	45	33	26	36	30
"7186"	"MIR5193"	1	1	2	0	1	2
"7187"	"TRAIP"	472	449	490	424	397	459
"7188"	"CAMKV"	10	14	14	10	10	6
"7189"	"MST1R"	965	1151	1040	719	808	713
"7190"	"LOC102724438"	67	75	73	45	61	53
"7191"	"MON1A"	261	314	322	266	318	297
"7192"	"RBM6"	1681	1640	1604	1301	1490	1436
"7193"	"RBM5"	1398	1439	1453	1346	1281	1265
"7194"	"RBM5-AS1"	65	44	55	52	36	44
"7195"	"SEMA3F-AS1"	142	167	181	128	120	104
"7196"	"LOC107986035"	22	23	26	29	35	15
"7197"	"SEMA3F"	601	591	537	670	597	498
"7198"	"GNAT1"	2	0	1	0	0	2
"7199"	"SLC38A3"	2	4	2	7	4	6
"7200"	"GNAI2"	2887	3125	3115	2892	2766	2534
"7201"	"MIR5787"	0	0	0	0	0	0
"7202"	"SEMA3B-AS1"	26	29	36	18	27	8
"7203"	"SEMA3B"	1249	1425	1346	652	752	670
"7204"	"MIR6872"	2	5	3	1	1	2
"7205"	"LSMEM2"	235	260	273	214	201	216
"7206"	"IFRD2"	2565	2720	2661	2327	2326	2219
"7207"	"HYAL3"	310	312	315	322	284	282
"7208"	"NAA80"	229	229	266	277	293	305
"7209"	"HYAL1"	72	77	76	78	71	59
"7210"	"HYAL2"	1107	1137	1268	1056	1044	958
"7211"	"TUSC2"	923	1003	929	984	944	970
"7212"	"RASSF1"	347	365	347	407	379	425
"7213"	"RASSF1-AS1"	2	4	2	8	5	5
"7214"	"ZMYND10"	21	27	28	26	17	21
"7215"	"NPRL2"	707	761	714	584	638	552
"7216"	"CYB561D2"	612	749	701	560	507	556
"7217"	"TMEM115"	1670	1935	1754	1989	1833	1761
"7218"	"CACNA2D2"	14	18	27	28	9	17
"7219"	"LOC105377082"	0	0	0	0	0	0
"7220"	"LOC105377083"	0	0	0	0	0	0
"7221"	"C3orf18"	238	220	232	187	187	203
"7222"	"HEMK1"	565	595	539	408	369	455
"7223"	"CISH"	167	139	169	152	175	119
"7224"	"MAPKAPK3"	1875	1866	1879	1895	1921	1842
"7225"	"LINC02019"	8	8	8	7	2	2
"7226"	"DOCK3"	191	167	168	143	134	160
"7227"	"MIR4787"	6	3	3	4	4	5
"7228"	"MANF"	1610	1621	1625	2018	1915	1964
"7229"	"RBM15B"	2317	2324	2352	2758	2739	2659
"7230"	"DCAF1"	1940	1968	1940	1799	1970	2124
"7231"	"LOC105377085"	4	0	2	0	0	0
"7232"	"RAD54L2"	780	574	574	721	819	746
"7233"	"LOC105377086"	0	0	2	2	0	2
"7234"	"TEX264"	1746	1762	1749	1762	1532	1786
"7235"	"GRM2"	2	8	4	6	2	10
"7236"	"LOC105377087"	0	0	0	0	0	0
"7237"	"IQCF6"	0	0	0	0	0	0
"7238"	"IQCF4P"	0	0	0	0	0	0
"7239"	"IQCF3"	0	0	0	0	0	0
"7240"	"IQCF2"	0	0	0	0	0	0
"7241"	"IQCF5-AS1"	0	0	0	0	0	0
"7242"	"IQCF5"	0	0	0	0	0	0
"7243"	"IQCF1"	0	0	0	2	0	0
"7244"	"RRP9"	1008	1032	1066	1034	1023	1044
"7245"	"PARP3"	501	495	473	555	542	534
"7246"	"GPR62"	4	3	3	7	3	4
"7247"	"PCBP4"	651	586	626	686	677	590
"7248"	"ABHD14B"	2049	2105	2260	2188	2299	2003
"7249"	"ABHD14A-ACY1"	645	650	719	647	559	584
"7250"	"ABHD14A"	303	301	391	308	322	240
"7251"	"ACY1"	573	571	607	565	476	524
"7252"	"RPL29"	14910	15769	16487	14890	15080	14548
"7253"	"LOC105377088"	0	0	0	0	0	0
"7254"	"DUSP7"	403	357	372	1095	1070	1047
"7255"	"LINC00696"	0	0	0	0	2	0
"7256"	"POC1A"	969	1062	880	758	745	803
"7257"	"ALAS1"	3029	3112	3126	3470	3409	3457
"7258"	"TLR9"	6	2	2	2	4	4
"7259"	"TWF2"	1706	1859	1923	2729	2613	2350
"7260"	"TWF2-DT"	11	10	15	17	30	12
"7261"	"PPM1M"	264	315	321	298	305	304
"7262"	"WDR82"	4496	4228	3976	5177	5509	5751
"7263"	"MIRLET7G"	1	0	0	0	0	0
"7264"	"LOC107986086"	6	14	11	12	16	17
"7265"	"GLYCTK"	354	369	300	345	340	369
"7266"	"GLYCTK-AS1"	3	3	4	4	2	2
"7267"	"MIR135A1"	5	4	1	1	2	4
"7268"	"DNAH1"	212	222	184	173	213	161
"7269"	"BAP1"	2314	2528	2571	2160	2255	2363
"7270"	"PHF7"	149	124	147	107	139	119
"7271"	"SEMA3G"	12	23	20	4	8	10
"7272"	"LOC105377091"	0	0	0	0	0	0
"7273"	"TNNC1"	17	22	25	32	24	26
"7274"	"NISCH"	1264	1274	1317	979	1065	990
"7275"	"STAB1"	85	87	91	101	98	109
"7276"	"NT5DC2"	2759	2853	3033	2897	2925	2688
"7277"	"UQCC5"	203	207	178	302	241	253
"7278"	"PBRM1"	2213	1989	1874	2159	2325	2321
"7279"	"GNL3"	3667	3722	3693	3708	3541	3949
"7280"	"SNORD136"	1	1	1	1	0	1
"7281"	"SNORD19"	2	7	3	1	4	2
"7282"	"SNORD19B"	26	26	20	13	19	10
"7283"	"SNORD19C"	4	5	1	6	5	5
"7284"	"SNORD69"	11	8	20	8	6	8
"7285"	"GLT8D1"	1532	1529	1408	1052	1254	1210
"7286"	"SPCS1"	3629	3950	4044	3835	3735	3912
"7287"	"NEK4"	1136	1067	1117	1090	1223	1261
"7288"	"ITIH1"	0	0	0	0	0	0
"7289"	"ITIH3"	4	0	0	0	0	0
"7290"	"ITIH4"	49	66	40	32	43	34
"7291"	"ITIH4-AS1"	4	8	1	1	5	1
"7292"	"STIMATE-MUSTN1"	106	115	120	130	115	125
"7293"	"MUSTN1"	11	9	9	9	4	11
"7294"	"STIMATE"	496	505	480	557	589	539
"7295"	"MIR8064"	0	0	0	0	0	1
"7296"	"SFMBT1"	907	867	925	919	986	899
"7297"	"RFT1"	1211	1294	1232	1234	1200	1278
"7298"	"PRKCD"	759	788	793	1208	1284	1207
"7299"	"TKT"	61788	63417	65528	62162	62719	58189
"7300"	"LOC107986087"	14	10	9	12	12	12
"7301"	"DCP1A"	869	886	842	1056	1043	1108
"7302"	"SNORD38C"	0	2	0	1	0	0
"7303"	"LOC105377094"	0	0	0	0	0	0
"7304"	"CACNA1D"	414	435	434	298	322	303
"7305"	"CHDH"	1132	1081	1059	624	595	673
"7306"	"IL17RB"	202	245	236	169	184	192
"7307"	"ACTR8"	1335	1216	1193	1363	1428	1383
"7308"	"SELENOK"	532	567	642	519	596	532
"7309"	"LOC105377095"	0	0	0	0	0	0
"7310"	"CACNA2D3"	19	24	4	10	12	18
"7311"	"LOC107986088"	0	0	1	0	0	0
"7312"	"ESRG"	5	2	4	2	5	1
"7313"	"CACNA2D3-AS1"	2	2	1	1	1	0
"7314"	"LRTM1"	0	0	0	0	0	2
"7315"	"LOC107986089"	0	0	0	0	0	0
"7316"	"LINC02017"	0	0	0	0	0	0
"7317"	"LOC105377097"	0	0	0	0	0	0
"7318"	"LINC02030"	0	0	0	0	0	0
"7319"	"WNT5A"	260	250	226	110	115	122
"7320"	"ERC2"	4	4	0	8	7	8
"7321"	"LOC105377100"	0	0	0	0	0	0
"7322"	"ERC2-IT1"	0	0	0	0	0	0
"7323"	"MIR3938"	0	0	0	0	0	0
"7324"	"LOC105377099"	0	0	0	0	0	0
"7325"	"CCDC66"	407	359	355	269	368	333
"7326"	"TASOR"	3988	3622	3518	2856	3133	3214
"7327"	"ARHGEF3"	614	683	644	874	795	881
"7328"	"ARHGEF3-AS1"	0	0	0	0	0	0
"7329"	"SPATA12"	38	33	11	20	17	16
"7330"	"IL17RD"	110	86	78	98	79	97
"7331"	"LOC105377101"	7	10	4	11	12	18
"7332"	"HESX1"	25	38	17	24	14	15
"7333"	"APPL1"	2245	2202	2033	2152	2452	2511
"7334"	"ASB14"	109	79	86	85	89	125
"7335"	"LOC105377102"	72	56	58	56	69	76
"7336"	"DNAH12"	13	8	3	5	11	8
"7337"	"PDE12"	1752	1797	1673	1677	1828	1694
"7338"	"ARF4"	6176	6136	6375	6478	6657	7111
"7339"	"ARF4-AS1"	35	11	17	24	21	6
"7340"	"DENND6A"	1137	1007	956	1166	1272	1340
"7341"	"DENND6A-DT"	1	3	2	0	2	2
"7342"	"SLMAP"	2490	2349	2200	2050	2282	2249
"7343"	"LOC105377103"	15	23	19	14	21	14
"7344"	"LOC105377104"	13	6	2	8	5	5
"7345"	"FLNB"	23860	22000	20622	31334	32612	32563
"7346"	"FLNB-AS1"	1190	1207	1171	1625	1706	1514
"7347"	"LOC105377650"	35	22	9	79	82	91
"7348"	"DNASE1L3"	4	6	2	0	2	3
"7349"	"LOC107986091"	0	0	0	0	0	0
"7350"	"ABHD6"	582	594	598	610	700	711
"7351"	"RPP14"	642	573	612	650	608	650
"7352"	"HTD2"	451	409	462	498	483	488
"7353"	"PXK"	605	569	579	613	598	680
"7354"	"LOC105377106"	0	0	0	2	0	0
"7355"	"PDHB"	2935	2867	2948	2851	2866	2877
"7356"	"LOC107986092"	12	14	6	4	6	4
"7357"	"KCTD6"	445	517	462	203	240	266
"7358"	"ACOX2"	263	257	244	111	121	124
"7359"	"LOC107984079"	1	0	2	0	0	0
"7360"	"FAM107A"	0	0	2	2	0	0
"7361"	"FAM3D-AS1"	1	0	0	0	0	0
"7362"	"FAM3D"	0	0	0	0	0	0
"7363"	"LOC105377109"	0	0	0	0	0	0
"7364"	"CFAP20DC"	172	124	183	167	194	163
"7365"	"CFAP20DC-AS1"	0	0	0	0	0	0
"7366"	"CFAP20DC-DT"	0	0	0	0	0	0
"7367"	"LOC339902"	0	0	0	0	0	0
"7368"	"FHIT"	56	53	74	76	58	83
"7369"	"LOC105377113"	0	2	0	0	0	0
"7370"	"LOC105377112"	0	0	0	0	0	0
"7371"	"LOC107986015"	1	0	0	0	0	0
"7372"	"MIR548BB"	0	0	0	0	0	0
"7373"	"LOC105377111"	0	0	0	0	0	0
"7374"	"LOC105377114"	0	0	0	0	0	0
"7375"	"LOC105377115"	0	0	0	0	0	0
"7376"	"PTPRG"	914	816	765	901	1005	1075
"7377"	"LOC107986016"	2	2	0	2	0	0
"7378"	"LOC105377116"	2	8	5	2	2	2
"7379"	"PTPRG-AS1"	99	88	68	76	69	86
"7380"	"C3orf14"	591	671	724	539	566	572
"7381"	"FEZF2"	0	0	0	0	0	0
"7382"	"LOC105377647"	0	0	0	0	0	0
"7383"	"CADPS"	0	0	0	0	0	0
"7384"	"LINC00698"	0	0	0	0	0	0
"7385"	"LOC107986043"	0	0	0	0	0	0
"7386"	"SYNPR"	0	0	0	0	0	0
"7387"	"SYNPR-AS1"	0	0	0	0	0	0
"7388"	"SNTN"	2	0	0	0	0	0
"7389"	"LOC105377119"	0	0	0	0	0	0
"7390"	"LOC100130345"	0	2	0	0	0	0
"7391"	"C3orf49"	4	3	6	4	6	8
"7392"	"THOC7"	1404	1590	1672	1576	1627	1515
"7393"	"THOC7-AS1"	0	2	0	0	2	0
"7394"	"ATXN7"	747	713	658	839	947	893
"7395"	"SCAANT1"	1	0	1	1	2	2
"7396"	"PSMD6-AS2"	28	27	12	14	19	13
"7397"	"PSMD6"	3013	3026	2991	3036	3054	3186
"7398"	"LOC105377121"	0	0	0	0	0	0
"7399"	"LOC107986093"	0	0	0	0	0	0
"7400"	"PRICKLE2-AS1"	111	112	97	131	138	138
"7401"	"LINC00994"	0	2	0	0	0	2
"7402"	"PRICKLE2"	466	558	463	638	618	566
"7403"	"PRICKLE2-AS2"	0	0	1	0	0	0
"7404"	"PRICKLE2-AS3"	6	9	7	10	10	13
"7405"	"PRICKLE2-DT"	0	0	0	1	0	1
"7406"	"LOC105377123"	0	0	2	0	0	0
"7407"	"ADAMTS9"	223	206	208	560	650	557
"7408"	"ADAMTS9-AS1"	7	3	3	15	10	9
"7409"	"ADAMTS9-AS2"	0	0	0	5	4	2
"7410"	"LOC105377124"	0	0	0	0	0	0
"7411"	"LOC107986017"	0	0	0	0	0	0
"7412"	"LOC105377125"	0	0	0	0	0	0
"7413"	"LOC105377127"	0	0	0	0	0	0
"7414"	"LINC02040"	0	0	0	0	0	0
"7415"	"LOC107986094"	0	0	0	0	0	0
"7416"	"MAGI1"	574	579	497	596	629	590
"7417"	"LOC107986018"	0	0	0	0	0	0
"7418"	"MAGI1-IT1"	3	2	0	4	2	3
"7419"	"MAGI1-AS1"	0	0	0	0	0	0
"7420"	"LOC105377128"	0	0	5	0	3	0
"7421"	"SLC25A26"	608	581	656	685	708	615
"7422"	"LOC107986095"	0	0	0	0	0	0
"7423"	"LRIG1"	535	554	550	466	389	464
"7424"	"LOC105377141"	0	0	0	0	0	0
"7425"	"LOC105377142"	0	0	0	0	0	0
"7426"	"LOC105377143"	0	0	0	0	0	0
"7427"	"LOC105377144"	0	0	0	0	0	0
"7428"	"KBTBD8"	31	26	68	50	66	49
"7429"	"MIR4272"	0	0	0	0	0	0
"7430"	"LOC112267879"	17	22	24	16	24	7
"7431"	"SUCLG2"	3540	3352	3434	3456	3697	3809
"7432"	"LOC105377148"	1	0	0	1	1	0
"7433"	"SUCLG2-DT"	165	140	175	105	127	121
"7434"	"TAFA1"	0	2	0	4	0	0
"7435"	"LOC107986019"	0	0	0	0	0	0
"7436"	"LOC105377146"	0	0	0	0	0	0
"7437"	"TAFA4"	0	2	0	0	0	0
"7438"	"EOGT"	728	659	620	808	794	938
"7439"	"TMF1"	1988	1871	1858	1892	2108	2168
"7440"	"MIR3136"	2	1	0	4	1	3
"7441"	"UBA3"	1948	1971	1943	1675	1820	1682
"7442"	"ARL6IP5"	5067	5183	5454	3782	4001	4288
"7443"	"LMOD3"	2	6	2	0	0	0
"7444"	"FRMD4B"	265	225	186	179	170	184
"7445"	"MITF"	1512	1350	1365	1081	1276	1209
"7446"	"SAMMSON"	0	0	0	0	2	0
"7447"	"LOC105377151"	0	0	0	0	0	0
"7448"	"MDFIC2"	0	0	0	0	0	0
"7449"	"LOC105377152"	0	0	0	0	0	0
"7450"	"FOXP1"	1062	926	941	2289	2372	2432
"7451"	"FOXP1-AS1"	6	0	0	0	0	2
"7452"	"MIR1284"	0	0	0	0	0	0
"7453"	"LOC105377155"	0	0	0	3	2	0
"7454"	"EIF4E3"	521	577	623	795	915	836
"7455"	"GPR27"	120	128	131	223	233	213
"7456"	"PROK2"	0	0	0	0	2	0
"7457"	"LOC105377156"	0	0	0	0	0	0
"7458"	"LOC105377157"	2	0	0	0	0	0
"7459"	"LINC00877"	0	1	0	1	0	0
"7460"	"LINC00870"	20	7	8	2	12	5
"7461"	"LOC105377158"	0	2	0	0	0	0
"7462"	"LOC105377159"	0	0	0	0	0	0
"7463"	"RYBP"	1767	1736	1612	2332	2461	2577
"7464"	"LOC105377160"	0	0	0	0	0	0
"7465"	"LOC105377161"	0	0	1	2	0	2
"7466"	"LOC102724817"	0	0	0	0	0	0
"7467"	"LOC105377162"	0	2	0	0	0	0
"7468"	"SHQ1"	1177	1080	1193	991	1103	1084
"7469"	"LOC107986097"	0	1	4	4	8	4
"7470"	"GXYLT2"	77	71	57	341	326	366
"7471"	"PPP4R2"	3270	3235	3154	4096	4086	4313
"7472"	"EBLN2"	36	44	40	31	16	27
"7473"	"LOC107986098"	0	0	0	0	0	0
"7474"	"PDZRN3"	0	0	0	0	2	0
"7475"	"LOC101927296"	0	0	0	0	0	0
"7476"	"PDZRN3-AS1"	0	0	0	0	0	0
"7477"	"LOC105377164"	0	0	0	0	0	0
"7478"	"LINC02005"	0	0	0	0	0	0
"7479"	"LINC02047"	0	0	0	0	0	0
"7480"	"CNTN3"	0	0	0	0	0	0
"7481"	"LOC105377166"	0	0	0	0	0	0
"7482"	"LOC105377167"	0	0	0	0	0	0
"7483"	"LOC105377168"	0	0	0	0	0	0
"7484"	"LOC107986099"	0	1	0	0	2	0
"7485"	"MIR4444-2"	68	50	105	26	94	69
"7486"	"LOC105377207"	0	0	0	0	0	0
"7487"	"FAM86DP"	665	669	715	788	761	759
"7488"	"LINC02018"	9	20	19	13	12	11
"7489"	"MIR1324"	0	0	0	0	0	0
"7490"	"FRG2C"	0	1	2	0	1	0
"7491"	"LINC00960"	19	7	15	21	16	15
"7492"	"ZNF717"	148	210	205	160	205	180
"7493"	"MIR4273"	2	1	3	0	2	3
"7494"	"ROBO2"	0	0	0	0	0	0
"7495"	"LOC107986020"	0	0	0	0	0	0
"7496"	"LOC102724949"	0	0	0	0	0	0
"7497"	"LOC105377171"	0	0	0	0	0	0
"7498"	"LINC02077"	0	0	0	0	0	0
"7499"	"LOC105377173"	0	0	0	0	0	0
"7500"	"ROBO1"	2106	2106	1954	2802	3045	3138
"7501"	"LOC101927374"	0	0	0	0	0	0
"7502"	"MIR3923"	0	0	0	0	0	0
"7503"	"LOC105377177"	0	0	3	0	0	0
"7504"	"LOC105377176"	0	0	0	0	0	0
"7505"	"LINC02050"	0	2	0	0	0	0
"7506"	"LOC105377174"	0	0	0	0	0	0
"7507"	"LINC02027"	0	0	0	0	0	1
"7508"	"GBE1"	3434	3266	3179	3124	3386	3216
"7509"	"LOC105377178"	0	0	0	0	0	0
"7510"	"LOC105377179"	0	0	0	0	0	0
"7511"	"LINC02008"	0	0	0	0	0	0
"7512"	"LOC101927439"	9	5	6	2	0	0
"7513"	"LOC105377181"	0	0	0	0	0	0
"7514"	"LOC105377183"	0	0	0	0	0	0
"7515"	"LOC105377186"	0	0	0	0	0	0
"7516"	"LOC105377187"	0	0	0	2	0	0
"7517"	"LOC105377188"	33	22	38	27	15	19
"7518"	"LINC00971"	0	0	0	0	0	0
"7519"	"LINC02025"	0	0	0	0	0	0
"7520"	"LOC105377193"	0	0	0	0	0	0
"7521"	"CADM2"	6	5	11	18	11	11
"7522"	"SNORA95"	0	0	0	0	0	0
"7523"	"MIR5688"	0	0	0	0	0	0
"7524"	"CADM2-AS2"	0	0	0	0	0	0
"7525"	"LOC102723364"	13	20	6	21	14	11
"7526"	"LINC02070"	0	0	0	0	0	0
"7527"	"LOC101927518"	0	0	0	0	0	0
"7528"	"LOC105377196"	1	3	6	17	16	3
"7529"	"VGLL3"	1281	1161	1045	5531	5767	5812
"7530"	"LINC00506"	11	4	3	7	15	6
"7531"	"MIR4795"	1	0	0	0	0	0
"7532"	"CHMP2B"	4601	4769	4668	4554	4941	5101
"7533"	"POU1F1"	16	8	16	6	6	12
"7534"	"LOC105377198"	0	0	0	0	0	0
"7535"	"HTR1F"	3	2	2	2	2	2
"7536"	"CGGBP1"	5818	5443	5483	5426	5642	5457
"7537"	"ZNF654"	786	767	614	745	856	831
"7538"	"C3orf38"	1104	949	1066	1130	1139	1265
"7539"	"LOC105377202"	0	0	0	0	0	0
"7540"	"CSNKA2IP"	0	0	0	0	0	0
"7541"	"EPHA3"	0	0	0	2	0	0
"7542"	"LOC101930420"	20	17	18	13	14	16
"7543"	"LOC107984021"	0	0	0	0	0	0
"7544"	"PROS1"	2601	2353	2267	2331	2302	2359
"7545"	"ARL13B"	1259	1069	1129	1501	1444	1589
"7546"	"STX19"	9	14	4	4	4	2
"7547"	"DHFR2"	857	727	687	612	602	614
"7548"	"NSUN3"	985	821	845	721	808	804
"7549"	"LOC105373992"	2	4	0	2	0	0
"7550"	"LINC00879"	0	0	0	0	0	0
"7551"	"MTHFD2P1"	0	0	0	2	0	0
"7552"	"MIR8060"	0	0	0	0	0	0
"7553"	"EPHA6"	6	6	2	30	19	17
"7554"	"LOC107986103"	0	0	0	0	0	0
"7555"	"LOC101929278"	0	0	0	2	0	0
"7556"	"ARL6"	479	377	365	415	420	441
"7557"	"LOC101929298"	11	6	9	9	4	8
"7558"	"CRYBG3"	1641	1372	1358	1199	1256	1357
"7559"	"LOC105373994"	7	0	2	2	0	0
"7560"	"RIOX2"	2215	2108	2220	1513	1551	1711
"7561"	"GABRR3"	0	0	0	0	0	0
"7562"	"OR5AC2"	0	0	0	0	0	0
"7563"	"OR5H1"	0	0	0	0	0	0
"7564"	"LOC105373996"	0	0	0	0	0	0
"7565"	"OR5H14"	0	0	0	0	0	0
"7566"	"OR5H15"	0	0	0	0	0	0
"7567"	"LOC105373998"	0	0	0	0	0	0
"7568"	"LOC105373997"	0	0	0	0	0	0
"7569"	"LOC101929320"	0	0	0	0	0	0
"7570"	"LOC105373999"	0	0	0	0	0	0
"7571"	"OR5H6"	0	0	0	0	0	0
"7572"	"OR5H2"	0	0	0	0	0	0
"7573"	"OR5K4"	0	0	0	0	0	0
"7574"	"LOC105374000"	0	0	0	0	0	0
"7575"	"OR5K3"	0	0	0	0	0	0
"7576"	"OR5K1"	0	0	0	0	0	0
"7577"	"OR5K2"	0	0	0	0	0	0
"7578"	"CLDND1"	1393	1490	1573	1778	1932	1933
"7579"	"GPR15"	0	0	0	0	0	0
"7580"	"CPOX"	1634	1661	1631	1385	1617	1516
"7581"	"ST3GAL6-AS1"	1	5	0	4	3	1
"7582"	"ST3GAL6"	64	59	73	60	66	55
"7583"	"DCBLD2"	41056	39336	37966	41340	43794	44512
"7584"	"LOC105374002"	21	31	32	38	30	31
"7585"	"LOC105374003"	406	352	433	714	722	756
"7586"	"LOC107986104"	0	1	0	0	1	2
"7587"	"LOC105374004"	0	0	0	0	0	0
"7588"	"LOC105374007"	0	0	0	0	0	0
"7589"	"LOC105374005"	0	0	0	0	0	0
"7590"	"LOC105374006"	0	0	0	0	0	0
"7591"	"COL8A1"	9	11	14	6	18	13
"7592"	"HP09053"	192	191	215	184	177	182
"7593"	"CMSS1"	1355	1426	1544	1369	1354	1475
"7594"	"FILIP1L"	6	9	10	7	22	14
"7595"	"LOC112268455"	2	0	0	0	0	0
"7596"	"MIR3921"	0	0	0	0	0	0
"7597"	"LOC105374010"	2	3	6	4	2	3
"7598"	"LOC105374009"	0	5	2	0	0	0
"7599"	"TMEM30CP"	0	0	0	0	0	0
"7600"	"TBC1D23"	1574	1613	1469	1357	1481	1640
"7601"	"NIT2"	3180	3085	3354	2975	2908	3289
"7602"	"TOMM70"	6144	5781	5679	5276	5855	6021
"7603"	"LNP1"	70	98	88	53	59	60
"7604"	"TMEM45A"	43	44	44	33	22	38
"7605"	"ADGRG7"	4	2	0	2	0	0
"7606"	"TFG"	5727	6081	6313	6071	5853	5888
"7607"	"ABI3BP"	22	26	26	54	67	76
"7608"	"IMPG2"	8	8	8	2	4	6
"7609"	"SENP7"	554	492	453	319	382	376
"7610"	"FAM172BP"	0	2	0	5	4	6
"7611"	"TRMT10C"	1690	1785	1607	1656	1833	1766
"7612"	"PCNP"	7210	7355	7116	6766	7301	7412
"7613"	"ZBTB11"	1772	1641	1574	1627	1591	1581
"7614"	"ZBTB11-AS1"	235	212	198	257	244	265
"7615"	"RPL24"	9244	9361	9865	9941	9357	9860
"7616"	"LOC105374013"	125	91	80	61	61	63
"7617"	"PDCL3P4"	10	14	8	0	9	7
"7618"	"CEP97"	1061	967	804	1041	1080	1170
"7619"	"NXPE3"	3500	3399	3232	2886	2852	3219
"7620"	"NFKBIZ"	796	698	676	666	671	517
"7621"	"RDUR"	2	4	0	0	5	2
"7622"	"LOC101929411"	0	0	0	0	0	0
"7623"	"LOC107986105"	0	0	0	0	0	0
"7624"	"ZPLD1"	0	2	0	1	0	6
"7625"	"LOC105374016"	0	0	0	0	0	0
"7626"	"LOC107986106"	0	0	0	0	0	0
"7627"	"LOC105374017"	0	0	0	0	0	0
"7628"	"LOC105374018"	0	0	0	0	0	0
"7629"	"MIR548AB"	0	0	0	0	0	0
"7630"	"LOC105374019"	39	34	54	20	17	14
"7631"	"LOC105374020"	20	29	22	16	26	35
"7632"	"LOC105374021"	0	0	0	0	1	0
"7633"	"LOC107986107"	1	0	0	2	2	0
"7634"	"LOC107986108"	0	0	0	0	0	0
"7635"	"LOC105374023"	0	0	0	0	0	0
"7636"	"ALCAM"	9543	9503	8915	8542	9138	9414
"7637"	"CBLB"	974	830	849	1216	1196	1265
"7638"	"LOC107986109"	0	0	3	1	3	0
"7639"	"LOC105374024"	0	2	0	1	0	0
"7640"	"LOC105374026"	0	0	0	0	0	0
"7641"	"LOC105374027"	2	0	0	10	15	8
"7642"	"LOC107986110"	0	0	0	0	0	0
"7643"	"LOC107986112"	0	0	0	0	0	0
"7644"	"LOC101929485"	0	0	0	0	0	0
"7645"	"LOC105374029"	0	0	0	0	0	0
"7646"	"LOC101929534"	0	0	0	0	0	0
"7647"	"LOC107986021"	0	0	0	0	0	0
"7648"	"LINC00882"	1	2	2	0	1	1
"7649"	"DUBR"	271	309	245	297	297	257
"7650"	"CCDC54"	8	2	0	0	0	2
"7651"	"CCDC54-AS1"	0	0	0	0	0	0
"7652"	"LINC01990"	3	2	0	7	0	1
"7653"	"BBX"	5296	4710	4604	4205	4475	4561
"7654"	"LINC00635"	0	0	0	0	2	0
"7655"	"LINC00636"	0	0	0	0	0	0
"7656"	"CD47"	2392	2378	2365	2125	2379	2471
"7657"	"LOC105374031"	0	0	0	0	0	0
"7658"	"LINC01215"	0	0	0	0	0	0
